Date,Tank,Weight (lb),Fat (%),Protein (%),Other Solids (%),SCC,Sequence Number,SPC,LPC,MUN,Solids (nonfat) (%),Temp,Freeze Point,Lactose,Ticket Number,Route,Fat (lb),Protein (lb),% Water,Gallons,PI,Coliform,Producer Code
"15-Day Average","-","45,210","4.48","3.28","5.78","248,462","-","16,000","420","11.3","9.06","-","-","-","-","-","1,898","1,392","-","5,257","0","0","-"
"04/27/26","1","42,551","","","","","609","","","","","38","","","115616","","","","","4,948","","","01001000260"
"04/25/26","1","41,453","","","","","608","","","","","37","","","115618","","","","","4,820","","","01001000260"
"04/23/26","1","41,405","4.51","3.26","5.77","290,000","607","","","12.8","9.03","38","","","112148","","1,867","1,350","","4,815","","","01001000260"
"04/21/26","1","42,647","4.50","3.27","5.77","250,000","606","","","13.0","9.04","38","","","112144","","1,919","1,395","","4,959","","","01001000260"
"04/19/26","1","41,691","4.47","3.27","5.78","240,000","605","19,000","","10.9","9.05","38","","","112153","","1,864","1,363","","4,848","","","01001000260"
"04/17/26","1","44,118","4.40","3.24","5.78","250,000","604","","","12.1","9.02","38","","","112149","","1,941","1,429","","5,130","","","01001000260"
"04/15/26","1","44,095","4.45","3.28","5.77","220,000","603","","","11.6","9.05","38","","","112156","","1,962","1,446","","5,127","","","01001000260"
"04/13/26","1","42,879","","","","","602","","","","","38","","","112610","","","","","4,986","","","01001000260"
"04/13/26","1","42,879","4.45","3.30","5.79","230,000","602","","","9.3","9.09","38","","","112160","","1,908","1,415","","4,986","","","01001000260"
"04/11/26","1","41,691","4.46","3.29","5.78","240,000","601","","","9.3","9.07","38","","","115756","","1,859","1,372","","4,848","","","01001000260"
"04/09/26","1","42,265","4.49","3.28","5.78","240,000","600","","","10.9","9.06","38","","","115779","","1,898","1,386","","4,915","","","01001000260"
"04/07/26","1","41,333","4.40","3.29","5.78","240,000","599","","420","10.8","9.07","38","","","115760","","1,819","1,360","","4,806","","","01001000260"
"04/05/26","1","42,169","4.52","3.30","5.78","330,000","598","","","11.8","9.08","38","","","115764","","1,906","1,392","","4,903","","","01001000260"
"04/03/26","1","41,691","4.56","3.29","5.81","240,000","597","","","10.6","9.10","38","","","115810","","1,901","1,372","","4,848","","","01001000260"
"04/01/26","1","42,456","4.48","3.28","5.78","250,000","596","13,000","","11.8","9.06","38","","","115625","","1,902","1,393","","4,937","","","01001000260"
"03/30/26","1","42,833","4.50","3.31","5.75","210,000","595","","","11.4","9.06","38","","","115631","","1,927","1,418","","4,981","","","01001000260"
